"binom","body.size","rel.wing","resid.wing","range.size","bio1_mean","range.elev","max.mean.elev","min.mean.elev","max.elev","min.elev","max.min.elev","min.max.elev","max.mean.elev.finer","min.mean.elev.finer","range.elev.finer","bio6_mean"
"Aeshna_canadensis",68.5,0.900594326434478,0.430149500941838,1.93e+12,45.63698026,1729.22964713,1742.728394,13.49874687,3225,-19,932,48,1765.631173,1.553191489,1764.077981511,-156.3364248
"Aeshna_clepsydra",67.5,0.895690087829927,0.244267968237738,5.09e+11,68.42513998,464.974858286,474.8548584,9.880000114,1482,-18,209,30,529.3441358,7.098039216,522.246096584,-122.245749
"Aeshna_constricta",69,0.891040632539189,0.106915627931615,1.47e+12,64.73174469,1885.65533461,1910.100464,24.44512939,3232,-41,1327,77,2146.834105,10.31404321,2136.52006179,-135.7745827
"Aeshna_eremita",72.5,0.896317199885322,0.345049080429107,2.28e+12,8.304914455,2971.29401951,2989.432617,18.13859749,6098,-6,2162,48,3231.479167,7.600980392,3223.878186608,-197.3971938
"Aeshna_interrupta",66.5,0.89887524716231,0.338024190108292,3.09e+12,30.50008502,3002.39163413,3015.890381,13.49874687,4275,-108,1927,38,3204.511574,1.306122449,3203.205451551,-167.746307
"Aeshna_juncea",65,0.901018490262787,0.386765126857813,1.21e+12,-4.049648412,2703.193659172,2710.365723,7.172063828,6098,-19,1935,21,3204.511574,1.306122449,3203.205451551,-202.8477128
"Aeshna_palmata",70,0.888022870016152,0.0174502636416956,1.76e+12,46.70039401,2991.25964179,3015.890381,24.63073921,4275,-89,2162,127,3314.653549,5.593380615,3309.060168385,-112.8545669
"Aeshna_persephone",76.5,0.904244970105126,0.677985951488075,82598839747,138.5523977,989.91748,2164.66748,1174.75,3367,582,1391,2354,2428.205247,1142.804784,1285.400463,-35.71329991
"Aeshna_septentrionalis",58.5,0.890714451361541,-0.0870514852239608,3.27e+11,-54.79344824,1831.70512213,1859.272339,27.56721687,5815,-2,796,69,1641.076389,12.50045005,1628.57593895,-276.5776337
"Aeshna_sitchensis",58.5,0.897182167084955,0.13768698344341,8.93e+11,5.594085629,2545.11807149,2557.993164,12.87509251,3976,-19,1749,35,3054.611883,5.593380615,3049.018502385,-195.4500731
"Aeshna_subarctica",65.5,0.89936753204928,0.338272133322372,5.33e+11,-0.293460265,1896.5602714,1910.100464,13.5401926,3336,-48,1216,38,1979.759259,1.306122449,1978.453136551,-207.5999903
